Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HST,AST,data_origin
01/08/2021,Burnley,West Ham,0,0,D,1,0,synthetic_demo
01/08/2021,Chelsea,Everton,0,0,D,2,3,synthetic_demo
02/08/2021,Newcastle,Brentford,1,0,H,4,0,synthetic_demo
03/08/2021,Bournemouth,Man City,0,1,A,2,9,synthetic_demo
03/08/2021,Crystal Palace,Aston Villa,1,2,A,3,5,synthetic_demo
04/08/2021,West Ham,Bournemouth,1,1,D,5,7,synthetic_demo
05/08/2021,Man United,Burnley,1,2,A,4,6,synthetic_demo
05/08/2021,Newcastle,Everton,3,1,H,7,7,synthetic_demo
06/08/2021,Leeds,Wolves,0,0,D,4,4,synthetic_demo
07/08/2021,Bournemouth,Tottenham,0,0,D,7,4,synthetic_demo
08/08/2021,Tottenham,Wolves,2,1,H,2,4,synthetic_demo
08/08/2021,West Ham,Crystal Palace,1,2,A,5,5,synthetic_demo
09/08/2021,Man United,Sunderland,1,0,H,3,2,synthetic_demo
10/08/2021,Man United,Brentford,0,0,D,4,5,synthetic_demo
10/08/2021,Crystal Palace,Brentford,0,0,D,4,2,synthetic_demo
11/08/2021,Crystal Palace,Sunderland,3,1,H,6,4,synthetic_demo
12/08/2021,Fulham,Burnley,2,1,H,6,4,synthetic_demo
13/08/2021,Burnley,Sunderland,0,0,D,3,2,synthetic_demo
13/08/2021,Everton,Man City,1,0,H,3,7,synthetic_demo
14/08/2021,Arsenal,Leeds,2,1,H,10,2,synthetic_demo
15/08/2021,Brentford,Man City,0,1,A,3,6,synthetic_demo
15/08/2021,Arsenal,Brentford,4,2,H,5,4,synthetic_demo
16/08/2021,Everton,Brentford,0,5,A,2,8,synthetic_demo
17/08/2021,Wolves,Brentford,0,1,A,2,3,synthetic_demo
18/08/2021,Fulham,Man United,0,3,A,2,9,synthetic_demo
18/08/2021,Wolves,Nott'm Forest,3,1,H,4,4,synthetic_demo
19/08/2021,Bournemouth,Arsenal,0,0,D,4,8,synthetic_demo
20/08/2021,Bournemouth,Man United,3,2,H,9,3,synthetic_demo
20/08/2021,Arsenal,Aston Villa,3,1,H,9,2,synthetic_demo
21/08/2021,Liverpool,Nott'm Forest,0,2,A,4,4,synthetic_demo
22/08/2021,Liverpool,Man United,2,0,H,8,4,synthetic_demo
23/08/2021,Tottenham,Everton,0,0,D,5,6,synthetic_demo
23/08/2021,Brighton,Man United,0,1,A,1,5,synthetic_demo
24/08/2021,Fulham,Aston Villa,2,1,H,8,3,synthetic_demo
25/08/2021,Man City,Nott'm Forest,2,2,D,10,6,synthetic_demo
25/08/2021,Bournemouth,Burnley,1,0,H,2,2,synthetic_demo
26/08/2021,Nott'm Forest,Fulham,0,0,D,1,2,synthetic_demo
27/08/2021,Brentford,Nott'm Forest,1,0,H,3,3,synthetic_demo
28/08/2021,Newcastle,Brighton,2,0,H,5,2,synthetic_demo
28/08/2021,Fulham,Tottenham,2,0,H,4,1,synthetic_demo
29/08/2021,Nott'm Forest,Leeds,0,1,A,3,4,synthetic_demo
30/08/2021,Bournemouth,West Ham,1,2,A,7,4,synthetic_demo
30/08/2021,Nott'm Forest,Arsenal,0,1,A,4,4,synthetic_demo
31/08/2021,Wolves,Bournemouth,1,2,A,1,7,synthetic_demo
01/09/2021,Newcastle,Man United,1,0,H,5,3,synthetic_demo
01/09/2021,Fulham,West Ham,2,2,D,6,5,synthetic_demo
02/09/2021,Leeds,Newcastle,2,0,H,4,6,synthetic_demo
03/09/2021,Man City,Chelsea,4,0,H,9,0,synthetic_demo
04/09/2021,Man United,Arsenal,2,2,D,8,4,synthetic_demo
04/09/2021,Wolves,Arsenal,0,2,A,1,6,synthetic_demo
05/09/2021,Nott'm Forest,Brentford,1,0,H,2,3,synthetic_demo
06/09/2021,Wolves,Newcastle,0,1,A,6,3,synthetic_demo
06/09/2021,Nott'm Forest,Liverpool,2,0,H,4,5,synthetic_demo
07/09/2021,Newcastle,Fulham,1,1,D,4,3,synthetic_demo
08/09/2021,Aston Villa,Everton,1,2,A,4,8,synthetic_demo
09/09/2021,Man United,Chelsea,1,0,H,6,1,synthetic_demo
09/09/2021,Aston Villa,Leeds,0,1,A,4,5,synthetic_demo
10/09/2021,Leeds,Burnley,2,0,H,8,1,synthetic_demo
11/09/2021,Newcastle,West Ham,2,1,H,6,7,synthetic_demo
11/09/2021,Brentford,Fulham,0,2,A,6,7,synthetic_demo
12/09/2021,Sunderland,Arsenal,2,2,D,3,6,synthetic_demo
13/09/2021,Brentford,Arsenal,0,0,D,4,2,synthetic_demo
14/09/2021,Tottenham,Chelsea,2,3,A,6,4,synthetic_demo
14/09/2021,Tottenham,Burnley,3,2,H,7,10,synthetic_demo
15/09/2021,Wolves,Brighton,0,1,A,3,4,synthetic_demo
